name	brand	category	source
Apple iPhone 18 Pro Max 256GB	Apple	phones	https://www.apple.com/ae/iphone-18-pro/
Apple iPhone 18 Pro 256GB	Apple	phones	https://www.apple.com/ae/iphone-18-pro/
Samsung Galaxy S26 Ultra 256GB	Samsung	phones	https://www.samsung.com/ae/smartphones/galaxy-s26-ultra/
Apple iPhone 17 Pro Max 256GB	Apple	phones	https://support.apple.com/en-ae/125091
Apple MacBook Air M5 13-inch	Apple	laptops	https://www.apple.com/ae/macbook-air/
Apple iPhone 17	Apple	phones	https://www.apple.com/ae/iphone-17/
Apple iPhone 16	Apple	phones	https://www.apple.com/ae/iphone-16/
Samsung Galaxy S25 Ultra	Samsung	phones	https://www.samsung.com/ae/smartphones/galaxy-s25-ultra/
Samsung Galaxy S26	Samsung	phones	https://www.samsung.com/ae/smartphones/galaxy-s26/
Samsung Galaxy Z Fold7	Samsung	phones	https://www.samsung.com/ae/smartphones/galaxy-z-fold7/
Samsung Galaxy Z Flip7	Samsung	phones	https://www.samsung.com/ae/smartphones/galaxy-z-flip7/
Samsung Galaxy A56 5G	Samsung	phones	https://www.samsung.com/ae/smartphones/galaxy-a/galaxy-a56-5g-awesome-olive-128gb-sm-a566bzgvmea/buy/
Nothing Phone (3a)	Nothing	phones	https://nothing.tech/pages/phone-3a
OnePlus 13	OnePlus	phones	https://www.oneplus.com/global/13
Xiaomi 15 Ultra	Xiaomi	phones	https://www.mi.com/global/product/xiaomi-15-ultra/
Apple MacBook Pro 14-inch M5	Apple	laptops	https://www.apple.com/ae/macbook-pro/
ASUS Zenbook 14 OLED UX3405	ASUS	laptops	https://www.asus.com/me-en/laptops/for-home/zenbook/asus-zenbook-14-oled-ux3405/
ASUS Vivobook 15 X1504	ASUS	laptops	https://www.asus.com/me-en/laptops/for-home/vivobook/asus-vivobook-15-x1504/
ASUS TUF Gaming A15 FA507	ASUS	laptops	https://www.asus.com/me-en/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2023/
ASUS ROG Zephyrus G14 (2025)	ASUS	laptops	https://rog.asus.com/laptops/rog-zephyrus/rog-zephyrus-g14-2025/
Microsoft Surface Laptop 8th Edition	Microsoft	laptops	https://www.microsoft.com/en-us/surface/devices/surface-laptop-7th-edition
Lenovo Legion Pro 5i Gen 10	Lenovo	laptops	https://www.lenovo.com/ae/en/p/laptops/legion-laptops/legion-pro-series/legion-pro-5i-gen-10-16-inch-intel/len101g0040
HP OmniBook X 14	HP	laptops	https://www.hp.com/us-en/laptops-and-2-in-1s/omnibook-x-ai-pc.html
Apple iPad Air	Apple	tablets	https://www.apple.com/ae/ipad-air/
Apple iPad mini A17 Pro	Apple	tablets	https://www.apple.com/ae/ipad-mini/
Apple iPad A16	Apple	tablets	https://www.apple.com/ae/ipad-11/
Apple iPad Pro	Apple	tablets	https://www.apple.com/ae/ipad-pro/
Samsung Galaxy Tab S11	Samsung	tablets	https://www.samsung.com/ae/tablets/galaxy-tab-s11/
Samsung Galaxy Tab S10 FE	Samsung	tablets	https://www.samsung.com/ae/tablets/galaxy-tab-s/galaxy-tab-s10-fe-silver-256gb-sm-x526bzsemea/
Xiaomi Pad 7	Xiaomi	tablets	https://www.mi.com/global/product/xiaomi-pad-7/
Apple Watch Series 12	Apple	smartwatches	https://www.apple.com/ae/apple-watch-series-12/
Apple Watch Ultra 4	Apple	smartwatches	https://www.apple.com/ae/apple-watch-ultra-4/
Apple Watch SE 3	Apple	smartwatches	https://www.apple.com/ae/apple-watch-se/
Samsung Galaxy Watch8	Samsung	smartwatches	https://www.samsung.com/ae/watches/galaxy-watch/galaxy-watch8-40mm-silver-bluetooth-sm-l320nzsamea/
Huawei Watch GT 5	Huawei	smartwatches	https://consumer.huawei.com/en/wearables/watch-gt5/specs/
Garmin Forerunner 265	Garmin	smartwatches	https://www.garmin.com/en-US/p/886785/
Xiaomi Smart Band 9	Xiaomi	smartwatches	https://www.mi.com/global/product/xiaomi-smart-band-9/
Apple AirPods Pro 3	Apple	headphones	https://www.apple.com/ae/airpods-pro/
Apple AirPods 5	Apple	headphones	https://www.apple.com/ae/airpods-5/
Sony WH-1000XM5	Sony	headphones	https://www.sony-asia.com/electronics/headband-headphones/wh-1000xm5
Sony WF-1000XM5	Sony	headphones	https://www.sony-asia.com/headphones/products/wf-1000xm5
Bose QuietComfort Ultra Headphones (2nd Gen)	Bose	headphones	https://www.bose.com/p/noise-cancelling-headphones/bose-quietcomfort-ultra-headphones-2nd-gen/QCUH2-HEADPHONEARN-CHRCHO-WW.html
Samsung Galaxy Buds3 Pro	Samsung	headphones	https://www.samsung.com/ae/audio-sound/galaxy-buds/galaxy-buds3-pro-silver-sm-r630nzaamea/
JBL Tune 770NC	JBL	headphones	https://www.jbl.com/TUNE770NC.html
Sennheiser Momentum 4 Wireless	Sennheiser	headphones	https://www.sennheiser-hearing.com/en-US/p/momentum-4-wireless/
Sony PlayStation 5 Pro	Sony	gaming	https://www.playstation.com/en-ae/ps5/ps5-pro/
Sony PlayStation 5	Sony	gaming	https://www.playstation.com/en-ae/ps5/
Microsoft Xbox Series X	Microsoft	gaming	https://www.xbox.com/en-AE/consoles/xbox-series-x
Microsoft Xbox Series S	Microsoft	gaming	https://www.xbox.com/en-AE/consoles/xbox-series-s
Nintendo Switch 2	Nintendo	gaming	https://www.nintendo.com/us/gaming-systems/switch-2/
Sony DualSense Wireless Controller	Sony	gaming	https://www.playstation.com/en-ae/accessories/dualsense-wireless-controller/
Sony PlayStation Portal	Sony	gaming	https://www.playstation.com/en-ae/accessories/playstation-portal-remote-player/
ASUS ROG Ally X (2024)	ASUS	gaming	https://rog.asus.com/gaming-handhelds/rog-ally/rog-ally-x-2024/
LG OLED C4 55-inch	LG	tvs	https://www.lg.com/ae/tvs-soundbars/lg-oled55c46la
Samsung The Frame LS03D 55-inch	Samsung	tvs	https://www.samsung.com/ae/lifestyle-tvs/the-frame/ls03d-55-inch-black-qa55ls03dauxzn/
Sony BRAVIA 8 55-inch	Sony	tvs	https://www.sony-asia.com/bravia/products/bravia-8
TCL C755 55-inch	TCL	tvs	https://www.tcl.com/in/en/tvs/c755
Hisense U7N 55-inch	Hisense	tvs	https://www.hisenseme.com/products/u7n
Dell UltraSharp U2723QE	Dell	monitors	https://www.dell.com/en-us/shop/dell-ultrasharp-27-4k-usb-c-hub-monitor-u2723qe/apd/210-bdpf/monitors-monitor-accessories
ASUS ProArt PA279CV	ASUS	monitors	https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa279cv/
BenQ MOBIUZ EX2710Q	BenQ	monitors	https://www.benq.com/en-me/monitor/gaming/ex2710q.html
LG UltraGear 27GP850-B	LG	monitors	https://www.lg.com/us/monitors/lg-27gp850-b-gaming-monitor
Samsung Odyssey OLED G6 G60SD	Samsung	monitors	https://www.samsung.com/ae/monitors/gaming/odyssey-oled-g6-g60sd-27-inch-360hz-oled-qhd-ls27dg602smxue/
Logitech MX Master 3S	Logitech	computer-accessories	https://www.logitech.com/en-us/products/mice/mx-master-3s.html
Logitech MX Keys S	Logitech	computer-accessories	https://www.logitech.com/en-us/products/keyboards/mx-keys-s.html
Logitech G502 X PLUS	Logitech	computer-accessories	https://www.logitechg.com/en-us/products/gaming-mice/g502-x-plus-wireless-lightforce.html
Logitech C920s Pro HD Webcam	Logitech	computer-accessories	https://www.logitech.com/en-us/products/webcams/c920s-pro-hd-webcam.html
Razer DeathAdder V3 Pro	Razer	computer-accessories	https://www.razer.com/gaming-mice/razer-deathadder-v3-pro
Apple Magic Keyboard	Apple	computer-accessories	https://www.apple.com/ae/shop/product/MXCL3Z/A/magic-keyboard-usb-c-us-english
Anker 737 Power Bank PowerCore 24K	Anker	chargers-power-banks	https://www.anker.com/products/a1289
Anker 735 Charger GaNPrime 65W	Anker	chargers-power-banks	https://www.anker.com/nz/products/a2668
Anker Prime 27,650mAh Power Bank 250W	Anker	chargers-power-banks	https://www.anker.com/products/a1340-250w-power-bank
UGREEN Nexode 65W USB-C Charger	UGREEN	chargers-power-banks	https://uk.ugreen.com/collections/gan-charger/products/ugreen-nexode-65w-usb-c-gan-charger-3-ports-wall-charger
Apple 20W USB-C Power Adapter	Apple	chargers-power-banks	https://www.apple.com/ae/shop/product/muvt3ze/a/20w-usb-c-power-adapter
Samsung Portable SSD T7 Shield 1TB	Samsung	storage	https://www.samsung.com/ae/memory-storage/portable-ssd/t7-shield-1tb-black-external-storage-nvme-1050-mb-s-mu-pe1t0s-ww/
Samsung 990 PRO NVMe SSD 1TB	Samsung	storage	https://www.samsung.com/sg/memory-storage/nvme-ssd/990-pro-1tb-nvme-pcie-gen-4-mz-v9p1t0bw/
SanDisk Extreme Portable SSD 1TB	SanDisk	storage	https://shop.sandisk.com/products/ssd/portable-ssd/sandisk-extreme-usb-3-2-ssd
Crucial X9 Pro Portable SSD 1TB	Crucial	storage	https://www.crucial.com/ssd/x9-pro/ct1000x9prossd9
Kingston XS2000 Portable SSD 1TB	Kingston	storage	https://www.kingston.com/en/ssd/xs2000-portable-usb-c-solid-state-drive
Seagate Expansion Portable Hard Drive 2TB	Seagate	storage	https://www.seagate.com/products/external-hard-drives/expansion-external-drives/
TP-Link Archer AX55	TP-Link	networking	https://www.tp-link.com/ae/home-networking/wifi-router/archer-ax55/
TP-Link Deco X50	TP-Link	networking	https://www.tp-link.com/ae/home-networking/deco/deco-x50/
TP-Link Archer BE550	TP-Link	networking	https://www.tp-link.com/ae/home-networking/wifi-router/archer-be550/
ASUS RT-AX86U Pro	ASUS	networking	https://www.asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-ax86u-pro/
TP-Link RE705X	TP-Link	networking	https://www.tp-link.com/ae/home-networking/range-extender/re705x/
Canon EOS R50	Canon	cameras	https://www.canon-me.com/cameras/eos-r50/
Canon EOS R8	Canon	cameras	https://www.canon-me.com/cameras/eos-r8/
Sony Alpha 6700	Sony	cameras	https://www.sony-asia.com/interchangeable-lens-cameras/products/ilce-6700
DJI Osmo Pocket 3	DJI	cameras	https://www.dji.com/ae/osmo-pocket-3
